id,northing,easting,altitude,start,stop,sd1500,sd750
1584,6120402.73,498628.85,1359.61,877219200,1,1,0
1585,6120420.11,497121.96,1361.02,877219200,1,1,0
1586,6126915.46,496370.08,1361.64,874108800,1,1,0
1587,6130813.27,492627.6,1400.72,872985600,1,1,0
1588,6128212.76,498622.66,1363.24,873849600,1,1,0
1589,6123016.78,495621.31,1364.46,873763200,1,1,0
1590,6119115,499381.4,1358.11,877824000,1,1,0
1591,6121717.54,502374.25,1352.47,897436800,1,1,0
1592,6115218.63,497131.21,1359.88,877996800,1,1,0
1593,6115222.98,498629.65,1356.16,877305600,1,1,0
1594,6128209.01,494126.62,1367.44,873158400,1,1,0
1595,6128210.01,495626.55,1364.9,873072000,1,1,0
1596,6126913.91,494872.79,1364.5,873158400,1,1,0
1597,6125618.35,492627.84,1366.24,873504000,1,1,0
1598,6125603.16,498638.49,1357.98,873849600,1,1,0
1599,6126912.67,499370.01,1356.85,873849600,1,1,0
1600,6123020.37,506128.88,1347.11,886982400,1,1,0
1601,6119118.31,496376.96,1361.12,877392000,1,1,0
1602,6117822.65,497124.73,1358.82,877132800,1,1,0
1603,6120413.68,507627.41,1346.16,886982400,1,1,0
1604,6125623.93,500117,1355.59,877824000,1,1,0
1605,6125618.3,495624.48,1362.42,873590400,1,1,0
1606,6130815.72,497123.84,1386.95,873244800,1,1,0
1607,6126913.89,491871.86,1368.39,873849600,1,1,0
1608,6126917.24,493373.39,1367.63,873504000,1,1,0
1609,6129509.34,496379.15,1377.83,873244800,1,1,0
1610,6117818.46,507623.44,1344.89,887155200,1,1,0
1611,6116518.95,500874.72,1353.16,877478400,1,1,0
1612,6116520.79,499377.54,1354.49,877478400,1,1,0
1613,6119108.43,508374.97,1343.99,887068800,1,1,0
1614,6123023.11,500124.97,1355.07,873072000,1,1,0
1615,6124327.27,496373.27,1361.06,871948800,1,1,0
1616,6123013.11,501626.92,1353.46,873158400,1,1,0
1617,6124324.17,497876.88,1359.64,871948800,1,1,0
1619,6115220.01,500130.31,1354.96,878342400,1,1,0
1620,6129515,499376.99,1374.75,881366400,1,1,0
1621,6117818.02,506127.41,1347.37,887068800,1,1,0
1623,6116521.11,503876.56,1349.67,883526400,1,1,0
1624,6121712.8,506877.61,1346.65,886982400,1,1,0
1626,6121715.69,505374.38,1348.92,887068800,1,1,0
1628,6119115.79,506873.1,1346.75,887068800,1,1,0
1629,6116518.43,505376.47,1348.74,887068800,1,1,0
1630,6120419.94,506128.17,1347.97,886982400,1,1,0
1631,6128216.07,500124.12,1356.18,881366400,1,1,0
1632,6117817.91,503123.58,1352.46,883526400,1,1,0
1633,6121718.05,503879.21,1350.57,877996800,1,1,0
1634,6117825.69,504625.56,1348.97,877737600,1,1,0
1635,6116517.69,506876.72,1346.34,887068800,1,1,0
1636,6117813.34,501628.72,1354.46,878342400,1,1,0
1637,6119112.41,500874.98,1356.83,877737600,1,1,0
1638,6126913.29,502379.98,1352.63,887068800,1,1,0
1639,6119112.55,503879.87,1349.22,877737600,1,1,0
1640,6116512.78,497883.96,1358.35,877305600,1,1,0
1641,6121720.4,496378.08,1360.69,877305600,1,1,0
1642,6116520.38,496376.91,1358.94,877132800,1,1,0
1643,6121716.24,497879.48,1358.69,877478400,1,1,0
1644,6120429.39,504622.38,1348.32,877737600,1,1,0
1645,6124317.28,503878.2,1351.75,887068800,1,1,0
1646,6120421.34,503124.46,1350.38,877996800,1,1,0
1647,6123016.53,503124.61,1350.86,886896000,1,1,0
1648,6116523.51,502383.89,1352.37,883526400,1,1,0
1649,6128214.69,501608.2,1354.24,887846400,1,1,0
1650,6129511.86,500874.13,1359.77,881366400,1,1,0
1651,6125610.41,501627.94,1353.27,887068800,1,1,0
1652,6125609.15,503126.76,1351.13,887068800,1,1,0
1653,6119120.42,505376.82,1348.53,887068800,1,1,0
1654,6130813.35,498624.97,1404.47,898732800,1,1,0
1655,6119117.1,502376.41,1353.29,877737600,1155940417,1,0
1656,6120417.48,501627.95,1355.03,877996800,1,1,0
1657,6123016.11,504624.65,1349.63,887068800,1,1,0
1658,6124316.97,502376.31,1353.73,886896000,1,1,0
1659,6132129.51,499386.03,1385.32,888451200,1,1,0
1660,6130812.35,500126.66,1375.02,888451200,1,1,0
1661,6123030.95,462622.31,1446.06,897436800,1,1,0
1662,6130815.9,501626.78,1371.47,888451200,1,1,0
1663,6132107.85,497884.85,1397.91,888451200,1,1,0
1664,6133401.66,497122.42,1412.12,888192000,1,1,0
1665,6128214.61,504628.18,1350.03,887846400,1,1,0
1666,6133423.59,498622.95,1404.85,888451200,1256395153,1,0
1667,6126916.87,505378.56,1348.23,887068800,1,1,0
1668,6129512.68,503877.05,1351.15,886896000,1,1,0
1669,6129514.4,502380.1,1355.79,884390400,1,1,0
1670,6128216.5,503129.57,1352.75,886377600,1,1,0
1671,6124325.08,505375.51,1349.45,887846400,1,1,0
1672,6125614.91,506126.26,1348.44,886982400,1,1,0
1673,6125611.68,504626.14,1350.09,887068800,1,1,0
